split	family	model	rowcap	metric	mean	median	std	pct10	pct25	pct75	pct90	min	max
ood	AIME	catboost	32	mae	29.410519422364672	7.301419488999526	58.84174155473402	2.290098646475629	2.6272748246980977	12.561727439723974	83.65070686984184	1.596258411917091	216.86577514058175
ood	AIME	catboost	32	mse	18729.76738871147	75.43290692137495	58917.73580964135	5.679129043663152	7.221713368914099	283.49314721312396	22285.843287176787	2.55952162297791	229152.2707734034
ood	AIME	catboost	32	r2	-37.284398270955876	-2.3628510135098164	117.5633552834949	-14.321501657822946	-11.980379179600742	-0.8513147756249286	-0.3827811887242286	-460.75225877652986	0.0
ood	AIME	catboost	32	rmse	54.26201328597493	8.548702097973916	125.639966980512	2.3800332547658347	2.681041024371083	16.770756703288797	131.564912700732	1.599850500196162	478.6985176218989
ood	AIME	catboost	32	rounded_consistency	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ood	AIME	catboost	64	mae	19.831042019527338	7.865923223899916	33.43864280444263	1.512480188115592	2.353354026897304	12.133187376346502	61.94761973961132	1.3218424025943076	117.33386436861936
ood	AIME	catboost	64	mse	7728.236067901964	79.1670312195612	23000.87299944087	2.7891979953285193	6.013944735905784	276.27582192017115	12489.115123617941	1.8437687385378276	89076.68652824775
ood	AIME	catboost	64	r2	-6.626731986138664	-2.4989789795878288	8.632454501011889	-16.825204800494806	-9.574144879925004	-0.8326734868952617	-0.30627092285938085	-31.004712321680422	0.0
ood	AIME	catboost	64	rmse	38.09118739839458	8.777673635320253	79.22939801918444	1.6633428601174525	2.4361366869092183	16.604904511507478	100.75003825746478	1.3578544614714154	298.45717704261654
ood	AIME	catboost	64	rounded_consistency	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ood	AIME	catboost	128	mae	29.935305307569994	6.505002404234785	72.52240257548524	0.9744459376985716	1.8119987260335655	10.723747873340379	49.3373262711614	0.6217398958345439	285.4259174357805
ood	AIME	catboost	128	mse	36478.74093503773	55.207837384527636	126977.14164042333	1.1370433908142457	3.8463216666223365	198.08870432346865	10866.65922665646	0.5541026316547473	494086.74731899064
ood	AIME	catboost	128	r2	-5.244542687601033	-2.3038348120291685	7.643445870233187	-14.048299191029422	-5.4737277313817385	-0.7463410002610518	-0.24521830235779635	-27.890687187155894	0.0
ood	AIME	catboost	128	rmse	65.64964202327022	7.429806822667144	179.35681040109463	1.0260485433759647	1.960254011965008	14.073402007587273	94.1452490604183	0.7443807034406167	702.9130439243468
ood	AIME	catboost	128	rounded_consistency	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ood	AIME	catboost	256	mae	29.728770956223116	5.948839921437301	59.98504700805356	0.764250497201648	1.5846846130864094	10.774720741360436	112.83194334840275	0.1960089660449435	195.16083234330657
ood	AIME	catboost	256	mse	45367.93375757946	46.1013679274196	117984.56688487915	0.7443923693633184	3.1255764720077357	229.04825466741823	147249.89004172914	0.06442179525801804	423728.26407907286
ood	AIME	catboost	256	r2	-4.426940189936144	-1.9968427335893062	6.067016403641894	-11.192373194391472	-5.117387389545126	-0.7225635253582213	-0.10847836489046708	-22.384351017371046	0.0
ood	AIME	catboost	256	rmse	85.62288276324838	6.783519766479339	195.0298841328951	0.8240606968441263	1.7662320887114287	15.134318897363466	327.7900196785481	0.2538144898503985	650.9441328401946
