split	family	rowcap	catboost	icl_llm	lightgbm	random_forest	realmlp	tabm	tabpfn2	tabpfn25	xgboost	xrfm	best_model	best_mean_rounded_consistency
ood	AIME	32	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	icl_llm	0.14285714285714285
ood	AIME	64	0.0	0.09340659340659341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	icl_llm	0.09340659340659341
ood	AIME	128	0.0	0.16666666666666666	0.0	0.04395604395604396	0.0	0.0	0.0027472527472527475	0.0	0.0	0.0	icl_llm	0.16666666666666666
ood	AIME	256	0.0		0.0	0.059065934065934064	0.0	0.0	0.017857142857142856	0.005494505494505495	0.005494505494505495	0.0	random_forest	0.059065934065934064
ood	AIME	512	0.0		0.005547850208044382	0.06657420249653259	0.0	0.0006934812760055478	0.0	0.0	0.03398058252427184	0.004174353311878055	random_forest	0.06657420249653259
ood	AIME	1024	0.0		0.009407665505226481	0.07142857142857142	0.0006968641114982578	0.0003484320557491289	0.0013937282229965157	0.004181184668989547	0.05261324041811847	0.003927934052859692	random_forest	0.07142857142857142
ood	AIME	2048	0.00017421602787456446		0.018815331010452963	0.07142857142857142	0.00017421602787456446	0.0	0.00017421602787456446	0.0012195121951219512	0.05313588850174216	0.002107164102999915	random_forest	0.07142857142857142
ood	GSM8K	32	0.0	0.4442857142857143	0.0	0.0	0.0014285714285714286	0.0	0.02571428571428571	0.03	0.0014285714285714286	0.0008163265306122448	icl_llm	0.4442857142857143
ood	GSM8K	64	0.0	0.38073038073038074	0.006153846153846154	0.0	0.0015384615384615385	0.0015384615384615385	0.04384615384615385	0.06692307692307692	0.0007692307692307692	0.003550295857988166	icl_llm	0.38073038073038074
ood	GSM8K	128	0.0	0.392130857648099	0.002307692307692308	0.0	0.0026923076923076926	0.0026923076923076926	0.038461538461538464	0.07769230769230769	0.0003846153846153846	0.0050739644970414196	icl_llm	0.392130857648099
ood	GSM8K	256	0.000576923076923077		0.0015384615384615385	0.0001923076923076923	0.0021153846153846158	0.0028846153846153843	0.024615384615384615	0.08961538461538461	0.0001923076923076923	0.005728550295857988	tabpfn25	0.08961538461538461
ood	GSM8K	512	0.0006796116504854369		0.001262135922330097	0.0	0.003300970873786408	0.009805825242718447	0.021067961165048544	0.10456310679611651	0.0007766990291262135	0.010452446036384202	tabpfn25	0.10456310679611651
